dataset,method,rule,committee_size,elected_mean_net_score,elected_min_net_score,elected_max_net_score,non_elected_mean_net_score,best_non_elected_score,best_non_elected_candidate,mean_utility,median_utility,n_zero_or_negative,frac_zero_or_negative,n_negative,frac_negative,gini_coefficient,avg_disapprovals_per_voter,avg_elected_disapprovals_per_voter,hamming_distance
march-on.operation-marchin-orders,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.affordable-housing,Traditional,PAV,10.0,146.4,105.0,179.0,13.0839,136.0,19.0,3.8425,3.0,102.0,0.2677,13.0,0.0341,0.2125,11.9396,0.5276,
scoop-hivemind.affordable-housing,Traditional,SeqPhragmen,10.0,149.5,117.0,179.0,12.8839,129.0,61.0,3.9239,3.0,107.0,0.2808,11.0,0.0289,0.265,11.9396,0.5039,
scoop-hivemind.affordable-housing,Traditional,MES,10.0,149.5,117.0,179.0,12.8839,129.0,61.0,3.9239,3.0,107.0,0.2808,11.0,0.0289,0.265,11.9396,0.5039,
scoop-hivemind.affordable-housing,AV,AV,10.0,148.9,111.0,179.0,12.9226,129.0,61.0,3.9081,3.0,108.0,0.2835,12.0,0.0315,0.2635,11.9396,0.5197,
scoop-hivemind.affordable-housing,Tax,TaxPhragmen,5.0,163.4,151.0,179.0,16.7188,154.0,13.0,2.1444,2.0,129.0,0.3386,12.0,0.0315,0.2265,11.9396,0.189,
scoop-hivemind.affordable-housing,Tax,TaxMES,5.0,163.4,151.0,179.0,16.7188,154.0,13.0,2.1444,2.0,129.0,0.3386,12.0,0.0315,0.2265,11.9396,0.189,
scoop-hivemind.affordable-housing,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.affordable-housing,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.affordable-housing,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.affordable-housing,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.affordable-housing,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.affordable-housing,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.affordable-housing,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.affordable-housing,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.affordable-housing,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.biodiversity,Traditional,PAV,10.0,267.7,235.0,306.0,36.4474,286.0,24.0,4.9944,5.0,117.0,0.2183,7.0,0.0131,0.2481,10.209,0.3955,
scoop-hivemind.biodiversity,Traditional,SeqPhragmen,10.0,267.7,235.0,306.0,36.4474,286.0,24.0,4.9944,5.0,117.0,0.2183,7.0,0.0131,0.2481,10.209,0.3955,
scoop-hivemind.biodiversity,Traditional,MES,10.0,274.4,235.0,306.0,36.227,277.0,53.0,5.1194,6.0,110.0,0.2052,5.0,0.0093,0.3119,10.209,0.3041,
scoop-hivemind.biodiversity,AV,AV,10.0,282.8,263.0,306.0,35.9507,266.0,51.0,5.2761,6.0,131.0,0.2444,8.0,0.0149,0.2805,10.209,0.1996,
scoop-hivemind.biodiversity,Tax,TaxPhragmen,6.0,284.1667,263.0,306.0,39.1299,286.0,24.0,3.181,4.0,140.0,0.2612,7.0,0.0131,0.3291,10.209,0.1287,
scoop-hivemind.biodiversity,Tax,TaxMES,6.0,288.0,264.0,306.0,39.0552,281.0,42.0,3.2239,4.0,142.0,0.2649,2.0,0.0037,0.3257,10.209,0.0914,
scoop-hivemind.biodiversity,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.biodiversity,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.biodiversity,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.biodiversity,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,10.0
scoop-hivemind.biodiversity,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,10.0
scoop-hivemind.biodiversity,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,8.0
scoop-hivemind.biodiversity,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.biodiversity,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.biodiversity,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.biodiversity,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.biodiversity,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.biodiversity,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.biodiversity,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.biodiversity,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.biodiversity,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.freshwater,Traditional,PAV,10.0,76.3,57.0,83.0,9.1286,77.0,17.0,6.5214,8.0,11.0,0.094,0.0,0.0,0.2971,9.2393,0.4017,
scoop-hivemind.freshwater,Traditional,SeqPhragmen,10.0,76.3,57.0,83.0,9.1286,77.0,17.0,6.5214,8.0,11.0,0.094,0.0,0.0,0.2971,9.2393,0.4017,
scoop-hivemind.freshwater,Traditional,MES,10.0,76.3,57.0,83.0,9.1286,77.0,17.0,6.5214,8.0,11.0,0.094,0.0,0.0,0.2971,9.2393,0.4017,
scoop-hivemind.freshwater,AV,AV,10.0,79.6,74.0,83.0,8.6571,70.0,15.0,6.8034,8.0,14.0,0.1197,0.0,0.0,0.294,9.2393,0.2735,
scoop-hivemind.freshwater,Tax,TaxPhragmen,7.0,80.5714,76.0,83.0,11.4795,81.0,18.0,4.8205,6.0,14.0,0.1197,0.0,0.0,0.2824,9.2393,0.188,
scoop-hivemind.freshwater,Tax,TaxMES,7.0,81.2857,80.0,83.0,11.411,77.0,17.0,4.8632,6.0,14.0,0.1197,0.0,0.0,0.2828,9.2393,0.188,
scoop-hivemind.freshwater,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.freshwater,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.freshwater,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.freshwater,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.freshwater,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.freshwater,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.freshwater,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,3.0
scoop-hivemind.freshwater,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.freshwater,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.freshwater,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,3.0
scoop-hivemind.freshwater,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,3.0
scoop-hivemind.freshwater,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,5.0
scoop-hivemind.freshwater,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.freshwater,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,3.0
scoop-hivemind.freshwater,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,3.0
scoop-hivemind.taxes,Traditional,PAV,10.0,172.0,87.0,232.0,2.3261,178.0,80.0,5.1497,6.0,72.0,0.2156,25.0,0.0749,0.168,19.5689,1.0988,
scoop-hivemind.taxes,Traditional,SeqPhragmen,10.0,173.6,87.0,232.0,2.2101,170.0,34.0,5.1976,7.0,69.0,0.2066,18.0,0.0539,0.1596,19.5689,1.003,
scoop-hivemind.taxes,Traditional,MES,10.0,173.6,87.0,232.0,2.2101,170.0,34.0,5.1976,7.0,69.0,0.2066,18.0,0.0539,0.1596,19.5689,1.003,
scoop-hivemind.taxes,AV,AV,10.0,187.0,162.0,232.0,1.2391,178.0,80.0,5.5988,8.0,88.0,0.2635,23.0,0.0689,0.1838,19.5689,0.7126,
scoop-hivemind.taxes,Tax,TaxPhragmen,6.0,203.5,178.0,232.0,5.7746,170.0,34.0,3.6557,5.0,78.0,0.2335,9.0,0.0269,0.1779,19.5689,0.2305,
scoop-hivemind.taxes,Tax,TaxMES,6.0,203.5,178.0,232.0,5.7746,170.0,34.0,3.6557,5.0,78.0,0.2335,9.0,0.0269,0.1779,19.5689,0.2305,
scoop-hivemind.taxes,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.taxes,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.taxes,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.taxes,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.taxes,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.taxes,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.taxes,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.taxes,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.taxes,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.taxes,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.taxes,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.taxes,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.taxes,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.taxes,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.taxes,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.ubi,Traditional,PAV,10.0,135.8,125.0,145.0,24.4167,128.0,1.0,5.8034,8.0,46.0,0.1966,9.0,0.0385,0.1738,7.5171,0.3419,
scoop-hivemind.ubi,Traditional,SeqPhragmen,10.0,135.1,125.0,145.0,24.5333,135.0,31.0,5.7735,8.0,47.0,0.2009,9.0,0.0385,0.2036,7.5171,0.3333,
scoop-hivemind.ubi,Traditional,MES,10.0,135.4,125.0,145.0,24.4833,132.0,16.0,5.7863,8.0,47.0,0.2009,7.0,0.0299,0.2003,7.5171,0.3291,
scoop-hivemind.ubi,AV,AV,10.0,135.8,125.0,145.0,24.4167,128.0,1.0,5.8034,8.0,46.0,0.1966,9.0,0.0385,0.1738,7.5171,0.3419,
scoop-hivemind.ubi,Tax,TaxPhragmen,6.0,139.3333,133.0,145.0,31.0469,135.0,31.0,3.5726,5.0,57.0,0.2436,6.0,0.0256,0.1906,7.5171,0.1709,
scoop-hivemind.ubi,Tax,TaxMES,6.0,139.6667,135.0,145.0,31.0156,133.0,4.0,3.5812,5.0,59.0,0.2521,6.0,0.0256,0.1883,7.5171,0.1752,
scoop-hivemind.ubi,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,0.0
scoop-hivemind.ubi,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
scoop-hivemind.ubi,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,2.0
scoop-hivemind.ubi,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
scoop-hivemind.ubi,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Traditional,PAV,10.0,202.4,-14.0,288.0,19.5124,195.0,41.0,5.0099,6.0,62.0,0.1535,17.0,0.0421,0.2197,23.9406,0.9257,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Traditional,SeqPhragmen,10.0,198.5,-14.0,288.0,19.6502,203.0,78.0,4.9134,5.0,59.0,0.146,16.0,0.0396,0.2181,23.9406,0.9678,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Traditional,MES,10.0,199.2,-14.0,288.0,19.6254,203.0,78.0,4.9307,5.0,62.0,0.1535,19.0,0.047,0.2235,23.9406,0.9926,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,AV,AV,10.0,221.9,184.0,288.0,18.8233,198.0,15.0,5.4926,6.0,65.0,0.1609,20.0,0.0495,0.1904,23.9406,0.5965,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Tax,TaxPhragmen,6.0,244.3333,203.0,288.0,21.1847,198.0,15.0,3.6287,4.0,61.0,0.151,14.0,0.0347,0.1918,23.9406,0.3193,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Tax,TaxMES,6.0,244.3333,203.0,288.0,21.1847,198.0,15.0,3.6287,4.0,61.0,0.151,14.0,0.0347,0.1918,23.9406,0.3193,
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,2.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,2.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,0.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,4.0
ssis.land-bank-farmland.2rumnecbeh.2021-08-01,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,4.0
vtaiwan.uberx,Traditional,PAV,10.0,500.8,399.0,654.0,75.5455,487.0,65.0,2.607,1.0,734.0,0.3821,48.0,0.025,0.1576,6.1916,0.3811,
vtaiwan.uberx,Traditional,SeqPhragmen,10.0,500.8,399.0,654.0,75.5455,487.0,65.0,2.607,1.0,734.0,0.3821,48.0,0.025,0.1576,6.1916,0.3811,
vtaiwan.uberx,Traditional,MES,10.0,500.8,399.0,654.0,75.5455,487.0,65.0,2.607,1.0,734.0,0.3821,48.0,0.025,0.1576,6.1916,0.3811,
vtaiwan.uberx,AV,AV,10.0,506.2,399.0,654.0,75.2567,453.0,62.0,2.6351,1.0,752.0,0.3915,53.0,0.0276,0.1599,6.1916,0.3805,
vtaiwan.uberx,Tax,TaxPhragmen,4.0,596.0,480.0,654.0,86.7927,487.0,65.0,1.241,1.0,945.0,0.4919,37.0,0.0193,0.158,6.1916,0.0968,
vtaiwan.uberx,Tax,TaxMES,3.0,634.6667,600.0,654.0,88.8196,487.0,65.0,0.9912,0.0,995.0,0.518,33.0,0.0172,0.1644,6.1916,0.0437,
vtaiwan.uberx,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,0.0
vtaiwan.uberx,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,0.0
vtaiwan.uberx,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,0.0
vtaiwan.uberx,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,4.0
vtaiwan.uberx,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,4.0
vtaiwan.uberx,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,4.0
vtaiwan.uberx,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,7.0
vtaiwan.uberx,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
vtaiwan.uberx,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
vtaiwan.uberx,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,7.0
vtaiwan.uberx,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,7.0
vtaiwan.uberx,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
vtaiwan.uberx,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,1.0
vtaiwan.uberx,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,7.0
vtaiwan.uberx,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
