timestamp,datetime,comment-id,voter-id,vote
1651045811021,Wed Apr 27 14:50:11 WIB 2022,0,3,-1
1651045906293,Wed Apr 27 14:51:46 WIB 2022,0,4,0
1651045919501,Wed Apr 27 14:51:59 WIB 2022,0,5,-1
1651046011479,Wed Apr 27 14:53:31 WIB 2022,0,6,-1
1651046133920,Wed Apr 27 14:55:33 WIB 2022,0,7,-1
1651046249062,Wed Apr 27 14:57:29 WIB 2022,0,9,1
1651046361921,Wed Apr 27 14:59:21 WIB 2022,0,10,1
1651046327370,Wed Apr 27 14:58:47 WIB 2022,0,11,1
1651046429170,Wed Apr 27 15:00:29 WIB 2022,0,12,1
1651046590325,Wed Apr 27 15:03:10 WIB 2022,0,13,-1
1651046600516,Wed Apr 27 15:03:20 WIB 2022,0,14,0
1651046761925,Wed Apr 27 15:06:01 WIB 2022,0,15,-1
1651046991690,Wed Apr 27 15:09:51 WIB 2022,0,16,1
1651046946610,Wed Apr 27 15:09:06 WIB 2022,0,17,1
1651047033977,Wed Apr 27 15:10:33 WIB 2022,0,18,-1
1651047102317,Wed Apr 27 15:11:42 WIB 2022,0,19,1
1651047189647,Wed Apr 27 15:13:09 WIB 2022,0,20,1
1651047238427,Wed Apr 27 15:13:58 WIB 2022,0,21,-1
1651047362500,Wed Apr 27 15:16:02 WIB 2022,0,22,1
1651047372438,Wed Apr 27 15:16:12 WIB 2022,0,23,1
1651047503832,Wed Apr 27 15:18:23 WIB 2022,0,24,1
1651047567071,Wed Apr 27 15:19:27 WIB 2022,0,25,-1
1651047450923,Wed Apr 27 15:17:30 WIB 2022,0,26,0
1651047616044,Wed Apr 27 15:20:16 WIB 2022,0,27,1
1651047560273,Wed Apr 27 15:19:20 WIB 2022,0,28,0
1651047719800,Wed Apr 27 15:21:59 WIB 2022,0,29,0
1651047790213,Wed Apr 27 15:23:10 WIB 2022,0,30,-1
1651057066047,Wed Apr 27 17:57:46 WIB 2022,0,154,-1
1651057064764,Wed Apr 27 17:57:44 WIB 2022,0,158,1
1651057076099,Wed Apr 27 17:57:56 WIB 2022,0,160,1
1651330074946,Sat Apr 30 21:47:54 WIB 2022,0,360,-1
1651400837627,Sun May 01 17:27:17 WIB 2022,0,397,1
1651485742851,Mon May 02 17:02:22 WIB 2022,0,490,1
1651351654508,Sun May 01 03:47:34 WIB 2022,0,500,1
1651554005553,Tue May 03 12:00:05 WIB 2022,0,566,-1
1651420284813,Sun May 01 22:51:24 WIB 2022,0,587,1
1651420289738,Sun May 01 22:51:29 WIB 2022,0,587,1
1651396441174,Sun May 01 16:14:01 WIB 2022,0,627,0
1651381407640,Sun May 01 12:03:27 WIB 2022,0,675,1
1651434507063,Mon May 02 02:48:27 WIB 2022,0,713,1
1651342720272,Sun May 01 01:18:40 WIB 2022,0,739,1
1651347294823,Sun May 01 02:34:54 WIB 2022,0,803,-1
1651487602565,Mon May 02 17:33:22 WIB 2022,0,817,1
1651759345110,Thu May 05 21:02:25 WIB 2022,0,841,1
1651656833019,Wed May 04 16:33:53 WIB 2022,0,917,1
1651799794924,Fri May 06 08:16:34 WIB 2022,0,937,1
1651445527048,Mon May 02 05:52:07 WIB 2022,0,963,1
1651403606677,Sun May 01 18:13:26 WIB 2022,0,1019,1
1651394511216,Sun May 01 15:41:51 WIB 2022,0,1034,-1
1651874753128,Sat May 07 05:05:53 WIB 2022,0,1051,0
1651909124729,Sat May 07 14:38:44 WIB 2022,0,1084,0
1651433832926,Mon May 02 02:37:12 WIB 2022,0,1094,1
1651365519655,Sun May 01 07:38:39 WIB 2022,0,1099,1
1651430583804,Mon May 02 01:43:03 WIB 2022,0,1103,1
1651332827479,Sat Apr 30 22:33:47 WIB 2022,0,1112,1
1651355311943,Sun May 01 04:48:31 WIB 2022,0,1116,1
1651328085875,Sat Apr 30 21:14:45 WIB 2022,0,1133,1
1651328336394,Sat Apr 30 21:18:56 WIB 2022,0,1134,-1
1651328413186,Sat Apr 30 21:20:13 WIB 2022,0,1135,1
1651330039932,Sat Apr 30 21:47:19 WIB 2022,0,1136,-1
1651330797930,Sat Apr 30 21:59:57 WIB 2022,0,1138,1
1651333146117,Sat Apr 30 22:39:06 WIB 2022,0,1139,1
1651341396452,Sun May 01 00:56:36 WIB 2022,0,1143,-1
1651335568590,Sat Apr 30 23:19:28 WIB 2022,0,1144,1
1651335832423,Sat Apr 30 23:23:52 WIB 2022,0,1146,0
1651336857796,Sat Apr 30 23:40:57 WIB 2022,0,1148,1
1651337891333,Sat Apr 30 23:58:11 WIB 2022,0,1150,1
1651337891553,Sat Apr 30 23:58:11 WIB 2022,0,1150,1
1651343975148,Sun May 01 01:39:35 WIB 2022,0,1154,1
1651347209959,Sun May 01 02:33:29 WIB 2022,0,1156,1
1651351795814,Sun May 01 03:49:55 WIB 2022,0,1159,0
1651351636604,Sun May 01 03:47:16 WIB 2022,0,1160,1
1651355052479,Sun May 01 04:44:12 WIB 2022,0,1161,1
1651355274167,Sun May 01 04:47:54 WIB 2022,0,1162,1
1651645647608,Wed May 04 13:27:27 WIB 2022,0,1166,1
1651393340156,Sun May 01 15:22:20 WIB 2022,0,1167,1
1651393734987,Sun May 01 15:28:54 WIB 2022,0,1168,1
1651394955198,Sun May 01 15:49:15 WIB 2022,0,1169,-1
1651396539930,Sun May 01 16:15:39 WIB 2022,0,1170,1
1651397090911,Sun May 01 16:24:50 WIB 2022,0,1171,1
1651397629854,Sun May 01 16:33:49 WIB 2022,0,1172,1
1651401794857,Sun May 01 17:43:14 WIB 2022,0,1175,1
1651405346440,Sun May 01 18:42:26 WIB 2022,0,1176,-1
1651406284464,Sun May 01 18:58:04 WIB 2022,0,1177,1
1651409898836,Sun May 01 19:58:18 WIB 2022,0,1179,0
1651410181539,Sun May 01 20:03:01 WIB 2022,0,1180,0
1651410187645,Sun May 01 20:03:07 WIB 2022,0,1180,0
1651413902735,Sun May 01 21:05:02 WIB 2022,0,1182,1
1651415980739,Sun May 01 21:39:40 WIB 2022,0,1184,1
1651416971442,Sun May 01 21:56:11 WIB 2022,0,1186,0
1651419919302,Sun May 01 22:45:19 WIB 2022,0,1188,1
1651419867009,Sun May 01 22:44:27 WIB 2022,0,1189,-1
1651421858350,Sun May 01 23:17:38 WIB 2022,0,1191,1
1651421828836,Sun May 01 23:17:08 WIB 2022,0,1192,0
